,FPTS,Position,Price,Value
Malik Taylor,-0.6,wr,0.0,-0.03333333333333333
Racey McMath,-1.2,wr,0.0,-0.06666666666666667
Travis Benjamin,-2.0,wr,0.0,-0.1111111111111111
Diontae Spencer,-4.3,wr,0.0,-0.23888888888888887
Mark Andrews,194.1,te,5.26,10.783333333333333
Travis Kelce,170.8,te,4.63,9.488888888888889
Dalton Schultz,130.8,te,3.56,7.2666666666666675
George Kittle,127.0,te,3.46,7.055555555555555
Rob Gronkowski,116.2,te,3.17,6.455555555555556
Dawson Knox,115.1,te,3.14,6.394444444444444
Hunter Henry,114.3,te,3.12,6.35
Dallas Goedert,109.0,te,2.98,6.055555555555555
Kyle Pitts,108.6,te,2.97,6.033333333333333
Zach Ertz,106.7,te,2.92,5.927777777777778
Mike Gesicki,92.0,te,2.52,5.111111111111111
Pat Freiermuth,91.7,te,2.52,5.094444444444445
Noah Fant,91.0,te,2.5,5.055555555555555
Tyler Higbee,86.0,te,2.36,4.777777777777778
Jared Cook,84.4,te,2.32,4.688888888888889
T.J. Hockenson,84.3,te,2.32,4.683333333333334
C.J. Uzomah,79.3,te,2.18,4.405555555555555
Darren Waller,78.5,te,2.16,4.361111111111111
Tyler Conklin,77.3,te,2.13,4.294444444444444
David Njoku,71.6,te,1.98,3.9777777777777774
Gerald Everett,69.8,te,1.93,3.8777777777777778
Cole Kmet,61.2,te,1.7,3.4000000000000004
Evan Engram,56.5,te,1.57,3.138888888888889
Mo Alie-Cox,55.6,te,1.55,3.088888888888889
Foster Moreau,55.3,te,1.54,3.072222222222222
Austin Hooper,54.5,te,1.52,3.0277777777777777
Jack Doyle,50.2,te,1.41,2.788888888888889
Cameron Brate,48.5,te,1.36,2.6944444444444446
Albert Okwuegbunam,43.0,te,1.21,2.388888888888889
Harrison Bryant,41.3,te,1.17,2.2944444444444443
Dan Arnold,40.8,te,1.15,2.2666666666666666
Juwan Johnson,39.9,te,1.13,2.216666666666667
Jonnu Smith,39.4,te,1.12,2.1888888888888887
Ricky Seals-Jones,39.1,te,1.11,2.1722222222222225
Geoff Swaim,39.0,te,1.11,2.1666666666666665
Hayden Hurst,38.1,te,1.08,2.1166666666666667
Jimmy Graham,36.7,te,1.04,2.038888888888889
Josiah Deguara,36.5,te,1.04,2.0277777777777777
Adam Trautman,36.3,te,1.03,2.0166666666666666
Durham Smythe,36.0,te,1.03,2.0
Brevin Jordan,35.8,te,1.02,1.9888888888888887
Logan Thomas,35.6,te,1.02,1.9777777777777779
MyCole Pruitt,34.5,te,0.99,1.9166666666666667
Kyle Rudolph,33.7,te,0.96,1.8722222222222225
Tommy Tremble,33.1,te,0.95,1.838888888888889
Robert Tonyan,32.4,te,0.93,1.7999999999999998
John Bates,30.9,te,0.89,1.7166666666666666
Will Dissly,29.1,te,0.84,1.6166666666666667
James O'Shaughnessy,26.4,te,0.77,1.4666666666666666
Maxx Williams,25.3,te,0.74,1.4055555555555557
Brock Wright,23.7,te,0.7,1.3166666666666667
Tyler Kroft,23.3,te,0.69,1.2944444444444445
Stephen Anderson,22.5,te,0.66,1.25
Blake Jarwin,21.6,te,0.64,1.2000000000000002
Marcedes Lewis,21.4,te,0.64,1.1888888888888889
Eric Ebron,20.5,te,0.61,1.1388888888888888
O.J. Howard,19.5,te,0.58,1.0833333333333333
Nick Vannett,19.3,te,0.58,1.0722222222222222
Ian Thomas,18.8,te,0.57,1.0444444444444445
Jordan Akins,17.7,te,0.54,0.9833333333333333
Zach Gentry,16.7,te,0.51,0.9277777777777777
Pharaoh Brown,15.1,te,0.47,0.8388888888888889
Jesper Horsted,14.1,te,0.44,0.7833333333333333
Chris Manhertz,13.1,te,0.41,0.7277777777777777
Lee Smith,12.5,te,0.4,0.6944444444444444
Jesse James,12.2,te,0.39,0.6777777777777777
Jacob Hollister,11.5,te,0.37,0.6388888888888888
