"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (LAR)","145","191","1,947","13.4","59","57","16","4","18","0","0","17","294.5","17.3","99.0%"
"2","Deebo Samuel (SF)","77","121","1,405","18.2","83","53","6","59","365","8","2","16","262.0","16.4","98.6%"
"3","Ja'Marr Chase (CIN)","81","128","1,455","18.0","82","49","13","7","21","0","1","17","223.6","13.2","100.0%"
"4","Justin Jefferson (MIN)","108","167","1,616","15.0","56","45","10","6","14","0","1","17","222.4","13.1","99.9%"
"5","Davante Adams (LV)","123","169","1,553","12.6","59","37","11","0","0","0","0","16","221.3","13.8","99.9%"
"6","Mike Evans (TB)","74","114","1,035","14.0","46","30","14","1","10","0","0","16","188.5","11.8","97.3%"
"7","Tyreek Hill (MIA)","111","159","1,239","11.2","75","24","9","9","96","0","1","17","185.5","10.9","100.0%"
"8","Stefon Diggs (BUF)","103","164","1,225","11.9","61","24","10","0","0","0","0","17","182.5","10.7","100.0%"
"9","Mike Williams (LAC)","76","129","1,146","15.1","72","37","9","0","0","0","0","16","170.6","10.7","18.8%"
"10","DK Metcalf (SEA)","75","129","967","12.9","84","19","12","1","6","0","0","17","169.3","10.0","98.2%"
"11","Tyler Lockett (SEA)","73","107","1,175","16.1","69","43","8","2","9","0","0","16","168.4","10.5","91.9%"
"12","Diontae Johnson (PIT)","107","169","1,161","10.9","50","27","8","5","53","0","2","16","167.4","10.5","80.9%"
"13","Hunter Renfrow (LV)","103","128","1,038","10.1","54","14","9","3","3","0","1","17","156.1","9.2","2.3%"
"14","CeeDee Lamb (DAL)","79","120","1,102","13.9","49","31","6","9","76","0","0","16","153.8","9.6","100.0%"
"15","Keenan Allen (LAC)","106","157","1,138","10.7","42","19","6","0","0","0","0","16","151.8","9.5","99.4%"
"16","Michael Pittman Jr. (IND)","88","129","1,082","12.3","57","20","6","5","44","0","0","17","150.6","8.9","96.1%"
"17","Tee Higgins (CIN)","74","110","1,091","14.7","54","25","6","0","0","0","1","14","145.1","10.4","89.4%"
"18","DJ Moore (CHI)","93","163","1,157","12.4","64","20","4","8","48","0","1","17","144.5","8.5","96.6%"
"19","Chris Godwin (TB)","98","127","1,103","11.3","44","19","5","4","21","1","2","14","144.4","10.3","88.5%"
"20","Jaylen Waddle (MIA)","104","140","1,015","9.8","57","15","6","2","3","1","1","16","141.8","8.9","99.4%"
